Data stats. Training 0.7 , Validation 0.15 , Testing 0.15000000000000002 

Random SEED:  50129
D:\PKLot/PKLot/PKLotSegmented/PUCPR/*/*/Empty/*.jpg. #files: 229994
D:\PKLot/PKLot/PKLotSegmented/PUCPR/*/*/Occupied/*.jpg. #files: 194229
D:\PKLot/PKLot/PKLotSegmented/UFPR04/*/*/Empty/*.jpg. #files: 59718
D:\PKLot/PKLot/PKLotSegmented/UFPR04/*/*/Occupied/*.jpg. #files: 46125
D:\PKLot/PKLot/PKLotSegmented/UFPR05/*/*/Empty/*.jpg. #files: 68359
D:\PKLot/PKLot/PKLotSegmented/UFPR05/*/*/Occupied/*.jpg. #files: 97426
Total Images 695851
---------------------------------------------------
DataSet -> Training
Number of images-> 487093
Batch size-> 256
Image size-> 64

	ImageSet -> Empty spots
	Number of images-> 250648
	Batch size-> 128
	Image size-> 64


	ImageSet -> Occupied spots
	Number of images-> 236445
	Batch size-> 128
	Image size-> 64

---------------------------------------------------
---------------------------------------------------
DataSet -> Validation
Number of images-> 104378
Batch size-> 3000
Image size-> 64

	ImageSet -> Empty spots
	Number of images-> 53711
	Batch size-> 1500
	Image size-> 64


	ImageSet -> Occupied spots
	Number of images-> 50667
	Batch size-> 1500
	Image size-> 64

---------------------------------------------------
---------------------------------------------------
DataSet -> Testing
Number of images-> 104380
Batch size-> 4000
Image size-> 64

	ImageSet -> Empty spots
	Number of images-> 53712
	Batch size-> 2000
	Image size-> 64


	ImageSet -> Occupied spots
	Number of images-> 50668
	Batch size-> 2000
	Image size-> 64

---------------------------------------------------
EPOCHS:  20
TRAIN_BATCHES_PER_EPOCH:  1902 

Epoch 0
	Batch 0, Validation accuracy 0.475667
	Batch 50, Validation accuracy 0.571
	Batch 100, Validation accuracy 0.919
	Batch 150, Validation accuracy 0.973667
	Batch 200, Validation accuracy 0.905
	Batch 250, Validation accuracy 0.989333
	Batch 300, Validation accuracy 0.998
	Batch 350, Validation accuracy 0.991
	Batch 400, Validation accuracy 0.997333
	Batch 450, Validation accuracy 0.994
	Batch 500, Validation accuracy 0.998
	Batch 550, Validation accuracy 0.997667
	Batch 600, Validation accuracy 0.996
	Batch 650, Validation accuracy 0.997667
	Batch 700, Validation accuracy 0.996333
	Batch 750, Validation accuracy 0.975667
	Batch 800, Validation accuracy 0.995
	Batch 850, Validation accuracy 0.998333
	Batch 900, Validation accuracy 0.996667
	Batch 950, Validation accuracy 0.987333
	Batch 1000, Validation accuracy 0.931667
	Batch 1050, Validation accuracy 0.988
	Batch 1100, Validation accuracy 0.993333
	Batch 1150, Validation accuracy 0.718
	Batch 1200, Validation accuracy 0.908667
	Batch 1250, Validation accuracy 0.966
	Batch 1300, Validation accuracy 0.990333
	Batch 1350, Validation accuracy 0.961
	Batch 1400, Validation accuracy 0.996333
	Batch 1450, Validation accuracy 0.814
	Batch 1500, Validation accuracy 0.643
	Batch 1550, Validation accuracy 0.712333
	Batch 1600, Validation accuracy 0.941333
	Batch 1650, Validation accuracy 0.991376
	Batch 1700, Validation accuracy 0.898
	Batch 1750, Validation accuracy 0.863519
	Batch 1800, Validation accuracy 0.922
	Batch 1850, Validation accuracy 0.804667
	Batch 1900, Validation accuracy 0.614
Epoch 1
	Batch 0, Validation accuracy 0.578333
	Batch 50, Validation accuracy 0.912
	Batch 100, Validation accuracy 0.978333
	Batch 150, Validation accuracy 0.986667
